,open,high,low,close,volume,value
2022-07-01 01:32:00,25352000.0,25394000.0,25328000.0,25362000.0,4.91353866,124681808.5259
2022-07-01 01:33:00,25362000.0,25376000.0,25306000.0,25311000.0,9.85507522,249756021.89968
2022-07-01 01:34:00,25337000.0,25342000.0,25308000.0,25311000.0,3.04458147,77101837.9331
2022-07-01 01:35:00,25308000.0,25311000.0,25295000.0,25300000.0,1.88933658,47807887.81321
2022-07-01 01:36:00,25297000.0,25300000.0,25257000.0,25257000.0,3.03358311,76718559.90789
2022-07-01 01:37:00,25257000.0,25282000.0,25256000.0,25259000.0,5.73294829,144839686.64602
2022-07-01 01:38:00,25259000.0,25262000.0,25244000.0,25256000.0,4.04148626,102069951.21079
2022-07-01 01:39:00,25250000.0,25261000.0,25232000.0,25232000.0,7.74501087,195544672.79842
2022-07-01 01:40:00,25232000.0,25244000.0,25223000.0,25234000.0,2.70652749,68298454.79771
2022-07-01 01:41:00,25234000.0,25245000.0,25223000.0,25224000.0,0.93807195,23665235.34826
2022-07-01 01:42:00,25224000.0,25234000.0,25224000.0,25227000.0,1.47224671,37143744.56229
2022-07-01 01:43:00,25234000.0,25246000.0,25228000.0,25245000.0,2.44797741,61763715.45048
2022-07-01 01:44:00,25245000.0,25264000.0,25245000.0,25246000.0,2.07793524,52464842.82578
2022-07-01 01:45:00,25246000.0,25265000.0,25245000.0,25259000.0,0.78289756,19768928.55703
2022-07-01 01:46:00,25259000.0,25259000.0,25247000.0,25259000.0,1.56781734,39587296.67501
2022-07-01 01:47:00,25249000.0,25264000.0,25247000.0,25264000.0,1.94115992,49014470.72402
2022-07-01 01:48:00,25269000.0,25280000.0,25260000.0,25262000.0,0.94185924,23800411.97858
2022-07-01 01:49:00,25262000.0,25263000.0,25223000.0,25224000.0,7.22391471,182412011.45688
2022-07-01 01:50:00,25224000.0,25232000.0,25219000.0,25219000.0,4.73493013,119441554.07414
2022-07-01 01:51:00,25217000.0,25217000.0,25200000.0,25201000.0,3.32404353,83782705.90444
2022-07-01 01:52:00,25205000.0,25237000.0,25199000.0,25208000.0,1.53398977,38663985.86838
2022-07-01 01:53:00,25239000.0,25239000.0,25211000.0,25237000.0,1.16614747,29409266.06198
2022-07-01 01:54:00,25213000.0,25235000.0,25208000.0,25211000.0,1.89766532,47846900.87649
2022-07-01 01:55:00,25211000.0,25234000.0,25208000.0,25210000.0,2.06591734,52090274.85602
2022-07-01 01:56:00,25210000.0,25227000.0,25210000.0,25210000.0,1.81252762,45710940.53898
2022-07-01 01:57:00,25226000.0,25226000.0,25210000.0,25210000.0,0.7978837,20123459.08269
2022-07-01 01:58:00,25210000.0,25218000.0,25209000.0,25209000.0,3.95146391,99618297.82263
2022-07-01 01:59:00,25209000.0,25235000.0,25209000.0,25221000.0,1.37485557,34671375.8606
2022-07-01 05:01:00,25212000.0,25212000.0,25000000.0,25000000.0,62.12783748,1557321674.81959
2022-07-01 05:02:00,25000000.0,25050000.0,25000000.0,25001000.0,40.94318653,1023594545.33068
